"Extension enabled","Extension enabled"
 "Yes","Yes"
 "No","No"
 "Save Settings","Save Settings"
 "Your copy of the component is not registered! All functions are disabled. Please register. Enter your S/N to register:","Your copy of the component is not registered! All functions are disabled. Please register. Enter your S/N to register:"
 "Settings have been saved","Settings have been saved"
 "Settings have not been save","Settings have not been save"
 "The extension has been registered","The extension has been registered"
 "Wrong s/n!","Wrong s/n!"
 "Current Configuration Scope:","Current Configuration Scope:"
 "View More Products","View More Products"
 "View More Products Configuration","View More Products Configuration"
 "View More Text","View More Text"
 "Load more method","Load more method"
 "On page scroll automatically","On page scroll automatically"
 "By clicking button","By clicking button"
 "Loading More Text","Loading More Text"